VARIABLE,TIPO_CARGADO,VALORES_UNICOS,FALTANTES_TECNICOS,AUSENCIAS_SEMANTICAS,FALTANTES_ANALITICOS,PORCENTAJE_FALTANTE
CODIGO,string,11603,0,0,0,0.0
DISTRITO,string,1667,522,0,522,4.5
DEPARTAMENTO,string,23,0,0,0,0.0
MUNICIPIO,string,350,0,0,0,0.0
ESTABLECIMIENTO,string,6170,5,0,5,0.04
DIRECCION,string,7260,87,0,87,0.75
TELEFONO,string,6429,933,0,933,8.04
SUPERVISOR,string,1268,525,0,525,4.52
DIRECTOR,string,5397,2106,0,2106,18.15
NIVEL,string,1,0,0,0,0.0
SECTOR,string,4,0,0,0,0.0
AREA,string,3,0,3,3,0.03
STATUS,string,5,0,0,0,0.0
MODALIDAD,string,2,0,0,0,0.0
JORNADA,string,6,0,1072,1072,9.24
PLAN,string,13,0,0,0,0.0
DEPARTAMENTAL,string,26,0,0,0,0.0
