COLUMNA,TIPO_ESPERADO,TIPO_REAL,CUMPLE,OBSERVACION
CODIGO,string,string,True,✔
DISTRITO_ORIGINAL,string,string,True,✔
DISTRITO_LIMPIO,string,string,True,✔
DISTRITO_ESTADO,string,string,True,✔
DEPARTAMENTO_ORIGINAL,string,string,True,✔
DEPARTAMENTO_LIMPIO,string,string,True,✔
DEPARTAMENTO_ANALISIS,string,string,True,✔
DEPARTAMENTO_ANALISIS_COD,string,string,True,✔
MUNICIPIO_ORIGINAL,string,string,True,✔
MUNICIPIO_LIMPIO,string,string,True,✔
MUNICIPIO_COD_FUENTE,string,string,True,✔
ESTABLECIMIENTO_ORIGINAL,string,string,True,✔
ESTABLECIMIENTO_LIMPIO,string,string,True,✔
ESTABLECIMIENTO_CLAVE_COMPARACION,string,string,True,✔
DIRECCION_ORIGINAL,string,string,True,✔
DIRECCION_LIMPIA,string,string,True,✔
TELEFONO_ORIGINAL,string,string,True,✔
TELEFONO_LIMPIO,string,string,True,✔
TELEFONO_PRINCIPAL,string,string,True,✔
TELEFONO_ESTADO,string,string,True,✔
SUPERVISOR_ORIGINAL,string,string,True,✔
SUPERVISOR_LIMPIO,string,string,True,✔
DIRECTOR_ORIGINAL,string,string,True,✔
DIRECTOR_LIMPIO,string,string,True,✔
DIRECTOR_ESTADO,string,string,True,✔
NIVEL_ORIGINAL,string,string,True,✔
NIVEL_LIMPIO,string,string,True,✔
SECTOR_ORIGINAL,string,string,True,✔
SECTOR_LIMPIO,string,string,True,✔
STATUS_ORIGINAL,string,string,True,✔
STATUS_LIMPIO,string,string,True,✔
MODALIDAD_ORIGINAL,string,string,True,✔
MODALIDAD_LIMPIA,string,string,True,✔
AREA_ORIGINAL,string,string,True,✔
AREA_LIMPIA,string,string,True,✔
JORNADA_ORIGINAL,string,string,True,✔
JORNADA_LIMPIA,string,string,True,✔
PLAN_ORIGINAL,string,string,True,✔
PLAN_LIMPIO,string,string,True,✔
DEPARTAMENTAL_ORIGINAL,string,string,True,✔
DEPARTAMENTAL_LIMPIO,string,string,True,✔
UBICACION_GRUPO,string,string,True,✔
TIPO_UBICACION,string,string,True,✔
FUENTE,string,string,True,✔
FUENTE_URL,string,string,True,✔
FECHA_EXTRACCION,string,string,True,✔
FECHA_PROCESAMIENTO,string,string,True,✔
VERSION_CONJUNTO,string,string,True,✔
ES_CIUDAD_CAPITAL,Int8,Int8,True,✔
ZONA_CAPITAL_COD,Int8,Int8,True,✔
SECTOR_COD,Int8,Int8,True,✔
AREA_COD,Int8,Int8,True,✔
AREA_INFORMADA,Int8,Int8,True,✔
STATUS_COD,Int8,Int8,True,✔
MODALIDAD_COD,Int8,Int8,True,✔
JORNADA_COD,Int8,Int8,True,✔
JORNADA_INFORMADA,Int8,Int8,True,✔
PLAN_COD,Int8,Int8,True,✔
DEPARTAMENTAL_COD,Int8,Int8,True,✔
